model,input_tokens,output_tokens,concurrent_requests,region,latency_ms
large,732,956,7,eu-west,3728
small,2621,467,5,us-west,1920
large,989,504,8,us-west,3042
medium,2908,426,9,us-east,2922
medium,1730,332,4,us-east,1806
medium,2814,267,10,us-east,2493
small,1097,178,10,us-west,1858
small,948,650,4,eu-west,1888
medium,3330,972,10,us-east,3433
medium,632,603,5,us-east,2039
small,3648,76,3,eu-west,1527
medium,2511,381,1,us-east,1748
medium,619,809,7,us-east,2663
small,360,537,8,eu-west,2314
medium,2531,161,8,eu-west,2556
small,277,794,9,eu-west,2462
medium,227,112,8,eu-west,1984
medium,542,552,8,eu-west,2407
small,2591,201,2,us-west,1343
medium,2693,649,9,eu-west,3381
medium,2546,593,5,us-west,2672
large,1862,151,2,eu-west,2488
large,3052,936,4,eu-west,3753
medium,1794,397,8,us-east,2439
medium,489,370,7,eu-west,2201
large,1633,206,8,us-west,2727
small,481,492,2,us-east,1467
large,3425,183,9,us-west,3154
large,2400,387,2,eu-west,2754
medium,3954,818,7,eu-west,3641
small,2559,369,6,us-west,1927
large,971,208,8,eu-west,2757
small,3562,619,6,us-west,2433
medium,1026,876,7,eu-west,3043
large,2864,708,9,eu-west,3735
large,3497,760,5,eu-west,3525
small,2978,830,5,us-west,2584
medium,843,940,3,us-east,2485
large,385,195,1,us-west,1777
large,981,435,7,eu-west,3050
medium,1615,369,6,us-east,2362
large,447,954,1,eu-west,2813
small,303,740,2,eu-west,1687
medium,1836,547,10,eu-west,3049
medium,982,823,9,us-west,2862
medium,554,340,10,us-west,2487
large,1363,96,4,eu-west,2389
large,131,259,5,us-east,2145
small,1285,385,2,us-west,1242
medium,1863,229,3,eu-west,1941
large,1042,562,9,eu-west,3524
medium,1726,932,1,us-east,2386
small,3873,129,6,us-west,2143
medium,1756,776,7,eu-west,2930
small,185,382,3,us-west,1431
medium,3867,420,2,eu-west,2500
small,1884,653,7,us-east,2328
small,3665,367,6,us-west,2206
medium,412,572,2,us-east,1839
large,3810,844,6,us-east,3753
large,3438,201,4,eu-west,2780
small,908,227,10,us-west,1852
large,825,841,8,us-east,3411
large,1938,747,10,eu-west,4013
large,1423,934,6,eu-west,3482
medium,2020,502,5,us-east,2246
large,1541,569,2,us-east,2549
medium,254,108,6,us-west,1646
small,3639,925,2,eu-west,2751
large,1674,523,10,eu-west,3645
large,1942,980,10,us-east,4097
small,2578,537,9,us-west,2457
small,523,880,6,us-west,2445
small,2746,226,1,eu-west,1446
large,1899,586,9,us-west,3615
small,1627,989,5,us-west,2530
medium,2880,662,1,us-west,2513
large,369,387,2,us-west,2343
large,1263,308,10,us-west,3018
medium,2486,729,3,us-east,2451
medium,2960,728,7,eu-west,3031
large,3942,136,5,eu-west,3137
medium,3342,386,3,eu-west,2574
large,2907,984,9,eu-west,4109
large,1834,570,6,eu-west,3059
medium,838,269,6,us-west,2202
medium,1027,190,3,us-east,1372
medium,2179,839,9,us-east,3320
large,2811,394,10,us-east,3302
large,731,216,3,us-west,2379
large,3053,498,1,us-east,2718
medium,3047,293,8,eu-west,2873
medium,3310,509,4,eu-west,2745
small,3412,853,8,us-west,2925
medium,3979,634,8,eu-west,3392
medium,2159,590,7,us-west,2641
small,666,943,5,eu-west,2190
large,3680,430,9,us-west,3524
large,3586,177,5,eu-west,2871
small,1940,977,9,us-west,2855
medium,3976,982,4,us-east,3203
medium,1799,104,7,us-east,2041
medium,1681,133,6,us-east,1809
small,3912,151,6,us-west,1957
small,1275,989,8,us-east,2797
small,2021,509,10,eu-west,2417
small,1148,270,3,us-east,1333
large,2261,483,2,eu-west,3028
medium,1333,174,1,us-east,1297
medium,3351,687,8,eu-west,3126
small,2544,598,1,us-west,1969
large,1090,785,3,eu-west,3009
medium,2618,411,4,us-east,2308
medium,2821,734,2,us-east,2513
medium,2254,607,9,us-east,2938
large,1699,944,8,us-east,3494
large,1629,309,1,us-west,2298
small,1087,800,2,us-west,2092
large,3199,390,3,eu-west,2829
medium,1486,883,3,eu-west,2854
large,2948,540,3,us-west,2926
small,3279,518,1,eu-west,1927
small,3340,254,1,us-east,1433
medium,1731,884,9,eu-west,3349
medium,3185,712,4,us-east,2637
medium,3646,721,6,us-east,2933
small,1889,960,7,us-west,2929
medium,1488,241,8,us-west,2460
medium,3885,866,9,us-west,3572
small,1838,130,7,eu-west,1931
small,1303,378,2,eu-west,1354
medium,1310,363,8,eu-west,2605
large,782,756,8,us-west,3362
medium,3077,940,6,us-east,3257
medium,2719,860,1,us-west,2433
large,1763,422,9,eu-west,3542
large,227,196,10,us-east,2827
medium,617,118,4,us-east,1663
large,1583,442,10,us-west,3183
large,2881,510,6,us-east,3178
medium,2450,190,9,us-east,2405
medium,2760,335,4,us-west,2132
small,862,561,9,eu-west,2343
large,1172,843,5,us-east,3306
medium,2606,342,8,us-east,2433
small,3593,125,8,us-east,1956
large,459,879,6,us-west,3407
medium,365,613,9,eu-west,2656
medium,3015,776,3,us-east,2619
large,597,255,3,us-east,2046
medium,1578,617,10,us-east,2844
medium,631,676,2,eu-west,1970
medium,3036,786,8,us-west,3339
medium,3472,638,2,us-west,2444
medium,403,510,8,eu-west,2640
large,625,949,9,us-west,3810
large,3244,182,7,us-east,3024
small,2222,206,5,us-east,1475
small,3928,776,4,us-west,2613
large,3564,130,5,us-west,2788
large,1224,178,5,eu-west,2672
large,2158,706,3,us-east,3081
large,801,724,10,us-east,3597
large,3551,996,10,us-west,4246
small,286,706,10,us-east,2239
large,3241,635,7,us-east,3626
large,2139,960,9,us-east,3827
large,2078,300,7,us-west,2947
medium,2920,111,3,us-east,1842
medium,2002,258,6,us-west,2340
small,3628,785,6,us-west,2962
medium,635,828,6,us-west,2703
large,1407,297,8,us-east,2699
medium,1115,194,2,us-west,1400
medium,3639,680,7,us-west,3090
small,3924,641,6,us-west,2571
small,2208,528,8,us-west,2352
medium,468,452,9,us-east,2370
small,2489,411,1,us-east,1316
medium,2547,953,8,us-west,3319
large,3570,160,7,us-east,2874
medium,1598,832,7,eu-west,3005
small,309,633,9,us-west,2140
medium,1282,125,7,eu-west,2164
medium,1245,895,10,eu-west,3471
large,627,149,7,us-east,2395
medium,3945,424,3,eu-west,2498
large,1744,562,1,eu-west,2546
small,3022,391,8,us-east,2338
medium,2583,964,9,us-east,3244
medium,1404,216,7,eu-west,2355
large,2531,394,9,us-west,3459
large,3002,626,5,us-west,3414
small,1456,739,2,us-west,1911
large,3363,970,1,us-west,3561
medium,2785,851,10,us-west,3593
small,310,647,8,eu-west,2125
large,3053,684,7,eu-west,3606
large,229,636,2,us-east,2306
small,1384,478,3,us-west,1681
large,1780,563,10,us-east,3472
large,355,772,3,eu-west,2962
small,1431,728,8,eu-west,2628
medium,809,520,9,us-west,2580
large,2868,840,5,us-west,3713
medium,1109,335,9,us-east,2275
small,3258,345,4,us-west,2138
large,1398,541,6,us-west,3134
large,1278,174,10,us-west,3130
large,3769,454,6,us-west,3613
small,272,344,2,us-west,1164
medium,1150,815,8,eu-west,2917
small,1210,625,5,eu-west,1962
small,3134,650,4,eu-west,2330
small,3807,593,4,eu-west,2599
small,510,473,6,us-east,1836
medium,2890,839,3,us-east,2486
large,1766,718,8,us-east,3458
large,3196,344,6,us-east,2998
large,3818,837,2,us-east,3501
large,2291,806,1,us-east,2814
medium,3925,991,1,us-east,2877
medium,3936,816,5,us-east,2885
small,2426,667,2,us-west,1976
medium,2726,606,9,us-west,3144
small,2017,329,4,eu-west,1655
medium,3094,519,5,us-east,2708
small,3117,395,5,us-east,2087
large,818,675,7,us-east,3091
large,455,460,2,us-west,2257
small,1425,304,1,us-west,1202
medium,1929,821,5,us-east,2639
medium,3060,636,1,eu-west,2408
large,2937,291,1,us-west,2697
small,1356,213,7,us-west,1897
large,3253,368,2,eu-west,3019
medium,2617,276,4,us-west,2042
medium,1963,815,10,us-east,3161
medium,2349,984,8,eu-west,3637
large,3481,273,4,eu-west,3171
large,2252,507,9,us-east,3518
medium,3857,627,2,us-east,2354
large,928,636,9,eu-west,3324
